date,model_company
2026-07-08,grok
2026-07-06,openai
2026-06-30,gemini
2026-06-30,anthropic
2026-06-26,grok
2026-06-22,grok
2026-06-18,grok
2026-06-17,grok
2026-06-15,anthropic
2026-06-09,anthropic
2026-06-06,openai
2026-06-05,openai
2026-05-30,grok
2026-05-28,gemini
2026-05-28,anthropic
2026-05-25,grok
2026-05-24,grok
2026-05-21,grok
2026-05-20,grok
2026-05-19,gemini
2026-05-18,openai
2026-05-15,grok
2026-05-13,openai
2026-05-13,grok
2026-05-12,grok
2026-05-11,gemini
2026-05-10,grok
2026-05-07,openai
2026-05-07,gemini
2026-05-06,grok
2026-05-05,openai
2026-05-05,grok
2026-05-05,gemini
2026-04-30,grok
2026-04-24,openai
2026-04-22,gemini
2026-04-21,openai
2026-04-21,grok
2026-04-21,gemini
2026-04-20,grok
2026-04-20,anthropic
2026-04-16,anthropic
2026-04-15,gemini
2026-04-14,gemini
2026-04-02,grok
2026-04-02,gemini
2026-04-01,gemini
2026-03-31,grok
2026-03-31,gemini
2026-03-29,grok
2026-03-27,grok
2026-03-26,openai
2026-03-26,grok
2026-03-26,gemini
2026-03-25,gemini
2026-03-24,grok
2026-03-20,grok
2026-03-19,openai
2026-03-19,grok
2026-03-18,openai
2026-03-17,openai
2026-03-11,grok
2026-03-10,grok
2026-03-10,gemini
2026-03-09,grok
2026-03-08,grok
2026-03-07,grok
2026-03-06,grok
2026-03-05,openai
2026-03-05,grok
2026-03-04,grok
2026-03-03,openai
2026-03-03,grok
2026-03-03,gemini
2026-02-26,gemini
2026-02-24,openai
2026-02-23,openai
2026-02-20,gemini
2026-02-19,gemini
2026-02-19,anthropic
2026-02-17,openai
2026-02-17,anthropic
2026-02-15,grok
2026-02-12,openai
2026-02-07,grok
2026-02-06,gemini
2026-02-05,gemini
2026-02-05,anthropic
2026-02-01,grok
2026-01-29,grok
2026-01-28,gemini
2026-01-27,gemini
2026-01-21,openai
2026-01-17,grok
2026-01-16,gemini
2026-01-15,grok
2026-01-14,openai
2026-01-07,anthropic
2026-01-05,openai
2026-01-05,anthropic
2025-12-18,openai
2025-12-17,openai
2025-12-17,gemini
2025-12-16,openai
2025-12-15,openai
2025-12-12,grok
2025-12-11,openai
2025-12-11,gemini
2025-12-10,gemini
2025-12-09,gemini
2025-12-05,gemini
2025-12-04,openai
2025-12-03,openai
2025-12-01,openai
2025-11-26,gemini
2025-11-24,anthropic
2025-11-20,gemini
2025-11-19,grok
2025-11-18,gemini
2025-11-15,gemini
2025-11-14,openai
2025-11-13,openai
2025-11-11,gemini
2025-10-28,anthropic
2025-10-15,openai
2025-10-15,anthropic
2025-10-14,openai
2025-10-07,gemini
2025-10-06,openai
2025-10-02,openai
2025-10-02,gemini
2025-09-29,anthropic
2025-09-27,gemini
2025-09-25,gemini
2025-09-23,openai
2025-09-20,grok
2025-09-18,grok
2025-09-15,grok
2025-09-04,grok
2025-08-28,openai
2025-08-26,gemini
2025-08-12,anthropic
2025-08-07,openai
2025-08-05,anthropic
2025-07-29,openai
2025-07-28,gemini
2025-07-22,gemini
2025-07-21,anthropic
2025-07-15,gemini
2025-07-14,openai
2025-07-14,gemini
2025-06-26,openai
2025-06-26,gemini
2025-06-17,gemini
2025-06-12,gemini
2025-06-10,openai
2025-06-09,openai
2025-06-05,gemini
2025-06-03,openai
2025-05-22,anthropic
2025-05-21,gemini
2025-05-20,gemini
2025-05-17,gemini
2025-05-16,openai
2025-05-14,openai
2025-05-14,gemini
2025-05-07,openai
2025-05-07,gemini
2025-05-06,gemini
2025-04-25,openai
2025-04-17,gemini
2025-04-16,openai
2025-04-14,openai
2025-04-09,gemini
2025-04-04,gemini
2025-04-03,openai
2025-04-02,gemini
2025-04-01,gemini
2025-03-25,gemini
2025-03-24,openai
2025-03-20,openai
2025-03-19,openai
2025-03-18,openai
2025-03-14,gemini
2025-03-12,gemini
2025-03-12,anthropic
2025-03-11,openai
2025-03-07,gemini
2025-02-28,openai
2025-02-27,openai
2025-02-27,gemini
2025-02-25,gemini
2025-02-12,openai
2025-02-06,gemini
2025-02-05,gemini
2025-01-31,openai
2025-01-21,gemini
2025-01-09,openai
2024-12-20,openai
2024-12-19,openai
2024-12-19,gemini
2024-12-17,openai
2024-12-11,openai
2024-12-11,gemini
2024-12-07,gemini
2024-12-04,openai
2024-11-24,openai
2024-11-22,openai
2024-11-20,openai
2024-11-09,openai
2024-11-05,openai
2024-10-17,openai
2024-10-16,openai
2024-10-14,openai
